Product Name,Prices,Reviews
"OnePlus 12R (Cool Blue, 256 GB)","₹39,900",4.5
"OPPO RENO 13 5G (White / Ivory White, 128 GB)","₹31,999",4.2
"OPPO Reno13 5G (Ivory White, 256 GB)","₹37,999",4.4
"Google Pixel 10 (Indigo, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Obsidian, 256 GB)","₹79,999",4.5
"vivo V60 5G (Mist Gray, 128 GB)","₹36,499",4.5
"Samsung Galaxy A54 5G (Awesome White, 256 GB)","₹37,499",4.3
"Samsung Galaxy A56 5G (Awesome Olive, 128 GB)","₹35,990",4.3
"OPPO Reno11 Pro 5G (Rock Grey, 256 GB)","₹34,898",4.4
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Lemongrass, 256 GB)","₹79,999",4.5
"vivo v50 5G (Grey, 256 GB)","₹36,780",4.5
"Samsung Galaxy A36 5G (Awesome Black, 256 GB)","₹34,499",4.4
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","₹35,099",4.2
"vivo V25 Pro 5G (Pure Black, 128 GB)","₹35,999",4.3
"vivo V25 Pro 5G (Sailing Blue, 128 GB)","₹35,999",4.3
"OPPO Reno8T 5G (Midnight Black, 128 GB)","₹24,999",4.3
"OPPO Reno8T 5G (Sunrise Gold, 128 GB)","₹26,999",4.3
"Mi 10T (Cosmic Black, 128 GB)","₹37,999",4.1
"Mi Mix 2 (Black, 128 GB)","₹37,999",4.3
"OnePlus 10T 5G (Jade Green, 256 GB)","₹37,999",4.1
"Apple iPhone SE (White, 64 GB)","₹39,900",4.5
"Apple iPhone SE (Red, 64 GB)","₹39,900",4.5
"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹37,999",4.1
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹39,998",4.5
"Samsung Galaxy A56 5G (Awesome Graphite, 128 GB)","₹36,990",4.3
"Tecno Camon 30 Premier 5G (Lava Black, 512 GB)","₹39,999",4.1
"OPPO Reno8 5G (Shimmer Black, 128 GB)","₹26,999",4.3
"Tecno Camon 30 Premier 5G (Snowy Silver, 512 GB)","₹39,999",4.1
"Google Pixel 10 (Indigo, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Obsidian, 256 GB)","₹79,999",4.5
"Mi 10T Pro (Cosmic Black, 128 GB)","₹39,999",4.2
"realme GT Neo 3 (White, 256 GB)","₹38,999",4.2
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Lemongrass, 256 GB)","₹79,999",4.5
"Samsung Galaxy S21 FE 5G (Graphite, 128 GB)","₹39,999",4.3
"Apple iPhone SE (Black, 64 GB)","₹39,900",4.5
"Samsung Galaxy S21 FE 5G (Olive Green, 128 GB)","₹39,999",4.3
"vivo V23 Pro 5G (Stardust Black, 128 GB)","₹38,990",4.3
"vivo V23 Pro 5G (Sunshine Gold, 128 GB)","₹38,990",4.3
"OnePlus 10R (Sierra Black, 128 GB)","₹38,999",4.3
"OnePlus 10T 5G (Jade Green, 128 GB)","₹35,999",4.3
"vivo X50 (Glaze Black, 128 GB)","₹39,990",4.3
"vivo V27 5G (Magic Blue, 256 GB)","₹36,999",4.4
"Infinix Zero Ultra (Genesis Noir, 256 GB)","₹36,999",4
"IQOO 3 (Quantum Silver, 128 GB)","₹37,990",4.5
"vivo V29 5G (Red, 256 GB)","₹36,999",4.5
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)","₹14,999",4.5
"POCO C71 (Cool Blue, 128 GB)","₹7,299",4.1
